AigleDOrFr;Games:Games/_PointAndClick/AigleDOrFr;AigleDOrFr.Slave              
ADIJuniorFR-code (Workbench31_32.Slave);Games:Games/_Educatif/ADIJuniorFR-code;Workbench31_32.Slave          
ADIJuniorFR-code (Workbench31_4.Slave);Games:Games/_Educatif/ADIJuniorFR-code;Workbench31_4.Slave           
MickeyABCFr;Games:Games/_Educatif/MickeyABCFr;MickeyABCFr.Slave             
MickeyJeuDeMemoireFr;Games:Games/_Educatif/MickeyJeuDeMemoireFr;MickeyJeuDeMemoireFr.Slave    
MickeyMouseComputerGame;Games:Games/_Educatif/MickeyMouseComputerGame;MickeyMouseComputerGame.Slave 
MickeyPuzzlesAnimesFr;Games:Games/_Educatif/MickeyPuzzlesAnimesFr;MickeyPuzzlesAnimesFr.Slave   
MickeysABCs;Games:Games/_Educatif/MickeysABCs;MickeysABCs.Slave             
MickeysJigsawPuzzles;Games:Games/_Educatif/MickeysJigsawPuzzles;MickeysJigsawPuzzles.Slave    
MickeysMemoryChallenge;Games:Games/_Educatif/MickeysMemoryChallenge;MickeysMemoryChallenge.Slave  
DefenderOfTheCrownCDTV;Games:Games/_Cinemaware/DefenderOfTheCrownCDTV;DefenderOfTheCrownCDTV.Slave  
ItCameFromTheDesert2;Games:Games/_Cinemaware/ItCameFromTheDesert2;ItCameFromTheDesert2.Slave    
ItCameFromTheDesert;Games:Games/_Cinemaware/ItCameFromTheDesert;ItCameFromTheDesert.Slave     
TVSportsBasketball;Games:Games/_Cinemaware/TVSportsBasketball;TVSportsBasketball.Slave      
TVSportsFootball;Games:Games/_Cinemaware/TVSportsFootball;TVSportsFootball.slave        
Wings;Games:Games/_Cinemaware/Wings;Wings.slave                   
1000Miglia;Games:Games/_Course/1000Miglia;1000Miglia.Slave              
AllTerrainRacing;Games:Games/_Course/AllTerrainRacing;AllTerrainRacing.Slave        
BigRun;Games:Games/_Course/BigRun;BigRun.Slave                  
F17Challenge;Games:Games/_Course/F17Challenge;F17Challenge.Slave            
NigelMansellsWrldChmp;Games:Games/_Course/NigelMansellsWrldChmp;NigelMansellsWrldChmp.slave   
OverdriveTeam17;Games:Games/_Course/OverdriveTeam17;OverdriveTeam17.Slave         
Vroom&DataDisk;Games:Games/_Course/Vroom&DataDisk;DataDisk.Slave                
Vroom&DataDisk (Vroom.Slave);Games:Games/_Course/Vroom&DataDisk;Vroom.Slave                   
LamborghiniAmericanChllng;Games:Games/_Course/LamborghiniAmericanChllng;LamborghiniAmericanChllng.slav
Lotus2;Games:Games/_Course/Lotus2;Lotus2.Slave                  
DisposableHero;Games:Games/_ShootThemUp/DisposableHero;DisposableHero.slave          
ProjectXSE;Games:Games/_ShootThemUp/ProjectXSE;ProjectXSE.Slave              
Xenon2CDTV;Games:Games/_ShootThemUp/Xenon2CDTV;Xenon2CDTV.Slave              
ArabianNights;Games:Games/_Plateforme/ArabianNights;ArabianNights.Slave           
BluesBrothers;Games:Games/_Plateforme/BluesBrothers;BluesBrothers.slave           
BrianTheLion;Games:Games/_Plateforme/BrianTheLion;BrianTheLion.Slave            
BubbaNStix;Games:Games/_Plateforme/BubbaNStix;BubbaNStix.slave              
CoolSpot;Games:Games/_Plateforme/CoolSpot;CoolSpot.slave                
GlobalGladiators;Games:Games/_Plateforme/GlobalGladiators;GlobalGladiators.slave        
JamesPond2;Games:Games/_Plateforme/JamesPond2;JamesPond2.Slave              
JamesPond;Games:Games/_Plateforme/JamesPond;JamesPond.slave               
JimPower;Games:Games/_Plateforme/JimPower;JimPower.slave                
PrehistorikCDTV;Games:Games/_Plateforme/PrehistorikCDTV;PrehistorikCDTV.slave         
Putty;Games:Games/_Plateforme/Putty;Putty.Slave                   
RuffNTumble;Games:Games/_Plateforme/RuffNTumble;RuffNTumble.slave             
Superfrog;Games:Games/_Plateforme/Superfrog;Superfrog.slave               
Superfrog (SuperfrogIntro.slave);Games:Games/_Plateforme/Superfrog;SuperfrogIntro.slave          
LiquidKidsFiles;Games:Games/_Plateforme/LiquidKidsFiles;LiquidKidsFiles.Slave         
FuryOfTheFurries;Games:Games/_PuzzleGame/FuryOfTheFurries;FuryOfTheFurries.Slave        
Gobliiins;Games:Games/_PuzzleGame/Gobliiins;Gobliiins.Slave               
Gobliins2Fr;Games:Games/_PuzzleGame/Gobliins2Fr;Gobliins2Fr.slave             
Goblins3;Games:Games/_PuzzleGame/Goblins3;Goblins3.slave                
PostmanPat;Games:Games/_PuzzleGame/PostmanPat;PostmanPat.Slave              
Qwak;Games:Games/_PuzzleGame/Qwak;Qwak.Slave                    
SinkOrSwim1MB;Games:Games/_PuzzleGame/SinkOrSwim1MB;SinkOrSwim1MB.Slave           
Lemmings21MB;Games:Games/_PuzzleGame/Lemmings21MB;Lemmings21MB.slave            
Lemmings2512KB;Games:Games/_PuzzleGame/Lemmings2512KB;Lemmings2512KB.slave          
LemmingsCDTV;Games:Games/_PuzzleGame/LemmingsCDTV;LemmingsCDTV.Slave            
LostVikingsFr;Games:Games/_PuzzleGame/LostVikingsFr;LostVikingsFr.Slave           
AlienBreedSpecialEdition;Games:Games/_Action/AlienBreedSpecialEdition;AlienBreedSpecialEdition.Slave
BubbleBobble;Games:Games/_Action/BubbleBobble;BubbleBobble.slave            
CannonFodderFr;Games:Games/_Action/CannonFodderFr;CannonFodderFr.Slave          
DesertStrike;Games:Games/_Action/DesertStrike;DesertStrike.slave            
FlashbackFr;Games:Games/_Action/FlashbackFr;FlashbackFr.slave             
IK+;Games:Games/_Action/IK+;IK+.slave                     
JurassicPark;Games:Games/_Action/JurassicPark;JurassicPark.slave            
PrinceDePerseFr;Games:Games/_Action/PrinceDePerseFr;PrinceDePerseFr.slave         
Turrican2CDTV;Games:Games/_Action/Turrican2CDTV;Turrican2CDTV.Slave           
Turrican3;Games:Games/_Action/Turrican3;Turrican3.Slave               
Turrican;Games:Games/_Action/Turrican;Turrican.Slave                
GreatCourts2;Games:Games/_Sport/GreatCourts2;GreatCourts2.slave            
GreatCourts;Games:Games/_Sport/GreatCourts;GreatCourts.slave             
ManchesterUnitedPLC;Games:Games/_Sport/ManchesterUnitedPLC;ManchesterUnitedPLC.slave     
SensibleGolf;Games:Games/_Sport/SensibleGolf;SensibleGolf.Slave            
SensibleWorldOfSoccer9798;Games:Games/_Sport/SensibleWorldOfSoccer9798;SensibleWorldOfSoccer9798.Slav
CaptainBlood;Games:Games/_Aventure/CaptainBlood;CaptainBlood.Slave            
DarkSeedFr;Games:Games/_Aventure/DarkSeedFr;DarkSeedFr.Slave              
DrakkhenImageFr;Games:Games/_Aventure/DrakkhenImageFr;DrakkhenImageFr.Slave         
DuneFr;Games:Games/_Aventure/DuneFr;DuneFr.Slave                  
Elvira2Fr;Games:Games/_Aventure/Elvira2Fr;Elvira2Fr.Slave               
ElviraFr;Games:Games/_Aventure/ElviraFr;ElviraFr.Slave                
Ishar2;Games:Games/_Aventure/Ishar2;Ishar2.Slave                  
Ishar3Fr;Games:Games/_Aventure/Ishar3Fr;Ishar3Fr.Slave                
Ishar;Games:Games/_Aventure/Ishar;Ishar.Slave                   
DeluxeGalaga;Games:Games/_Classic/DeluxeGalaga;DeluxeGalaga.slave            
DeluxePacMan;Games:Games/_Classic/DeluxePacMan;DeluxePacMan.Slave            
GenesiaFr;Games:Games/_Autres/GenesiaFr;GenesiaFr.slave               
NorthAndSouthImage;Games:Games/_Autres/NorthAndSouthImage;NorthAndSouthImage.slave      
PinballDreams;Games:Games/_Autres/PinballDreams;PinballDreams.Slave           
PinballFntsies;Games:Games/_Autres/PinballFntsies;PinballFntsies.slave    
